,id,name,prod_cat,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
246,buydig-4334f3c9f8b1af7ce315ac1e62086fc6,COOLPIX S31 10.1MP Waterproof Digital Camera 720p HD (White) Refurbished Bundle,,USD,69.00,Nikon,,,Includes Limited Nikon 90-Day Refurbished Warranty.,https://static.buydig.com/Assets/Product/ImagesNw400/4FC347D0FA6942BFB3F230FC07CB1C69.jpg,,,,,,5,
247,buydig-435363a957388a60ce51481f5458bebf,D7200 DX-Format 24.2MP Digital HD-SLR Body + 18-250mm and 50mm Lens Bundle,,USD,1446.95,Nikon,,,"Introducing the D7200, the new star of Nikon's DX-format line-up. For the first time, the exhilarating image quality, low-light capabilities and speed of a Nikon DSLR are available with the convenience of built-in Wi-Fi and Near Field Communication (NFC).",https://static.buydig.com/Assets/Product/ImagesNw400/37818033FF82446C8DF07F1ECC6BBA1E.jpg,,,,,,5,
248,buydig-43e974e7ba4056a8f6ee4b3da92802c8,D7200 DX 24.2MP Digital SLR Camera Body with WiFi NFC - Manufacturer Refurbished,,USD,799.00,Nikon,,,"Introducing the D7200, the new star of Nikon's DX-format line-up. Get amazing results with Nikon's 24.2MP DX-Format Sensor, 51-Point AutoFocus System, Native ISO 25600, 6 fps Shooting, No Optical Low-Pass Filter, 3.2"" LCD.",https://static.buydig.com/Assets/Product/ImagesNw400/0D7AE14BF4334182AA77EA30FBF2CFCA.jpg,,,,,,5,
249,buydig-43f9f6158c56cf2e94602a8b1fe9a126,HDR-CX405/B Camcorder Deluxe Bundle,,USD,239.00,Sony,,,,https://static.buydig.com/Assets/Product/ImagesNw400/FEDA809EA8014BBD8D19BB4A8903D5EA.jpg,,,,,,5,
250,buydig-442c2e2d9be8a17d4f30af62c4cfcaa2,EOS 5DS 50.6MP Digital SLR Camera (Body Only) Lexar Memory Bundle,,USD,3499.00,Canon,,,,https://static.buydig.com/Assets/Product/ImagesNw400/1B380538C9574884A7150414F9CC70BE.jpg,,,,,,5,
251,buydig-44734164800e8e5030b6a6b43c9b00d0,PowerShot ELPH 360 HS Digital Camera with 12x Optical Zoom + Wi-Fi - Silver,,USD,199.00,Canon,,,"<li>12x Optical Zoom with Optical Image Stabilizer
<li>Built-in Wi-Fi and NFC
<li>20.2 Megapixel CMOS Sensor with DIGIC 4+ Image Processor
<li>1080p Full HD Video
<li>Large 3.0-inch LCD Screen
<li>Creative Show Mode
<li>Story Highlights",https://static.buydig.com/Assets/Product/ImagesNw400/8CDBB3659FAF476CAC494EA234870084.jpg,,,,,,5,
252,buydig-44b17b6d132777ae910e5ee5e1e74108,M6 EOS Mirrorless Digital Camera (Black) + 15-45mm IS STM Lens Accessory Bundle,,USD,829.00,Canon,,,,https://static.buydig.com/Assets/Product/ImagesNw400/B0EADCA254C24899AF5FE972F9E64747.jpg,,,,,,5,
253,buydig-44d911fce68f13c65b71626f3a155e14,PowerShot G1 X Mark III 24.2MP 3x Zoom Lens Digital Camera (Black),,USD,1299.00,Canon,,,"24.2 Megapixel CMOS (APS-C) Sensor. 3x Zoom Lens (24-72mm) with Optical Image Stabilizer. DIGIC 7 Image Processor, ISO 100-25600. 3.0-inch Vari-angle Touchscreen LCD. Built-in Wi-Fi, NFC and Bluetooth Technology. Dust- and Water-resistant. Full HD 60p.",https://static.buydig.com/Assets/Product/ImagesNw400/423D3B28AD244C888A01A0508DBCAE28.jpg,,,,,,5,
254,buydig-459f8579904ea8bc2c6f4fed062bd152,EOS Rebel T7i DSLR Camera Video Creator Kit + 18-55mm & 70-300mm Lens Bundle,,USD,1049.00,Canon,,,,https://static.buydig.com/Assets/Product/ImagesNw400/DC73B324F3104D3F8AA74091EC42FCC2.jpg,,,,,,5,
255,buydig-4600d87bc97a576902d37169788c8e8e,X-E3 24.3 MP Mirrorless Digital Camera (Slvr) w/XF 23mm F2 WR Lens (OPEN BOX),,USD,949.99,Fujifilm,,,"<li>Compact & Lightweight Camera Body
<li>Right Handed Operation
<li>Touchscreen Operation & Focus Lever
<li>X-Trans CMOS III sensor & X-Processor Pro
<li>Wireless communication with Bluetooth
<li>4K Video Recording
<li>Advanced SR AUTO mode",https://static.buydig.com/Assets/Product/ImagesNw400/D97A1BFC92CB41E08B72E7452C892A2F.jpg,,,,,,5,
