identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
robertscamera-2d30d3e1887aa8d1753765c2716a578f,FujiFilm 		X-A1 with 16-50mm,USD,499.95,FujiFilm,new,https://schema.org/InStock,,,,,,,,,
robertscamera-2da195ec7dd3531a58e7054d32db811c,Sony 		a99 (Body Only),USD,1999,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-2e085b2e39b08f948caba21502240231,Nikon 		D610 with 28-300mm VR,USD,2446.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-2e5f3a595f0692b93d03a529d6610979,Samsung 		NX mini with 9mm,USD,449.99,Samsung,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-30231d1129525305e36bab3d9adae5b1,Canon 		FS40 Camcorder,USD,299.99,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-327e72bc5959a917ef7714ab7a064971,Nikon 		D7500 with 18-140mm VR,USD,1546.95,Nikon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-32a1227ccad8abf53cd353a18742b36a,Canon 		XA35 Professional Camcorder,USD,2499,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-32a1c44b4653d21a7b4eb265a98a4030,Canon 		EOS 80D (Body Only),USD,1199,Canon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-32e36cb9cdd986925ee52b1074c6374c,Nikon 		D4s (Body Only),USD,6496.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-32e46c84b2ec38c8ad52b8d52ef3da80,Nikon 		D3400 with 18-55mm VR and 70-300mm Non-VR Lenses,USD,596.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-33662255aa5b48dfd70df90ea538cd7d,Samsung 		NX mini with 9-27mm,USD,549.99,Samsung,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-33ac6efd65f38feadcf5668ee3582054,Olympus 		PEN E-P5 (Body Only),USD,799.99,Olympus,new,https://schema.org/InStock,,,,,,,,,
