,id,name,prod_cat,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
52,pictureline-61378ba975db4e71f92348678cfd4b17,Nikon D5600 DSLR Camera with 18-140mm VR DX Lens,,USD,94695,Nikon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/18-140_d5600_grande.jpg?v=1483563454,018208015771,,,,0,5,0
53,pictureline-630fdfd9b6db68d44d6d47420ea2fcd0,Panasonic Lumix G9 Digital Camera Body,,USD,169799,Panasonic,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/Panasonic-LUMIX-G9-G9KBODY-01--NEW_grande.jpg?v=1510182539,885170328679,,,,0,5,0
54,pictureline-6392bc4288737b03d021f4900f73ceb3,Nikon D750 DSLR Camera with 24-120mm Lens,,USD,229695,Nikon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/nikon_d750_24120_grande.jpeg?v=1514912343,018208015498,,,,5,5,1
55,pictureline-64f499f5a0248f48b66538a306504a76,Fujifilm X-T20 Body with XF 18-55mm Lens Kit (Black),,USD,119900,Fujifilm,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/X-T20_Black_FrontUP_XF18-55mm_grande.jpg?v=1484778700,074101032260,,,,0,5,0
56,pictureline-6696836fa4322f83eec978ee2f3e9093,Nikon D610 Digital SLR with 24-85mm VR Nikkor Lens,,USD,199695,Nikon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/d610_24_85_fronttop.high_grande.jpeg?v=1449619387,018208133055,,,,0,5,0
57,pictureline-6819b8eb2d3f101e315c385b579ca10d,"Panasonic V-Log L Function Activation Code for Lumix GH4, GH5",,USD,9799,Panasonic,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/VLOG_L_MAIN_IMAGE_grande.jpg?v=1449620160,885170264052,,,,0,5,0
58,pictureline-6960ad4c648d0ed0146b4c71731e3d2b,Nikon D5600 DX Digital SLR Camera (Body Only),,USD,64695,Nikon,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/frontd5600_grande.jpg?v=1483658842,018208015757,,,,0,5,0
59,pictureline-6b11351a18f6537ad03ff7c68e969301,Fujifilm X-E2s Digital Camera Body (Silver),,USD,69995,Fujifilm,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/Screen_Shot_2016-02-16_at_1.15.51_PM_grande.png?v=1455653935,074101027648,,,,0,5,0
60,pictureline-6bc9381d89c9f6b04f6dab8aea867d51,Nikon D3400 Digital SLR Camera 2 Lens Kit (18-55mm 70-300mm),,USD,59695,Nikon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/D3400_BK_DoubleZoom_3_grande.jpg?v=1471468292,018208015733,,,,0,5,0
61,pictureline-6cfdf2de4937322ea32b2aa4641961c3,Fujifilm INSTAX Mini 70 Instant Film Camera (Island Blue),,USD,11995,Fujifilm,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/Screen_Shot_2016-12-02_at_11.49.42_AM_grande.png?v=1480704608,074101199055,,,,0,5,0
62,pictureline-712b337bee5ed7a66a16cc98c340aee8,Canon Powershot G1X Mark III Digital Camera,,USD,129999,Canon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/HR_G1X_MARKIII_BLACK_FRONT_CL_grande.jpg?v=1508272296,013803295597,,,,0,5,0
63,pictureline-729b396d4a06344352e8b6627a7cb404,Canon EOS Rebel T6s 18-135 STM Camera Kit,,USD,119900,Canon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/HR_T6s_EFS18-135_IS_STM_FRONT_CL_1_1024x1024_81e6d029-89cc-4735-a7ac-efdf86577f0d_grande.jpeg?v=1478209766,013803249491,,,,0,5,0
64,pictureline-72c914917d5f59130d38d16d234ab3ef,Fujifilm INSTAX Mini 9 Instant Film Camera (Smokey White),,USD,6999,Fujifilm,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/mini9_camera_white_grande2_grande.jpg?v=1497548433,074101033113,,,,0,5,0
65,pictureline-73622aac7a221cd6f160de3fdb2c34a1,Canon Powershot G3X Digital Camera,,USD,99900,Canon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/20150618_thumbL_g3x_front_a9d33422-75f3-47df-a0f2-7504c8569f2e_grande.jpg?v=1449614788,013803254754,,,,0,5,0
66,pictureline-7474e9910fa2e7ce24762d47678d0291,Canon EOS 5D Mark IV Digital Camera Body Kit,,USD,329900,Canon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/Canon5divbody_grande.png?v=1515425336,013803281347,,,,5,5,4
67,pictureline-75efe399a85f5be8d163ea63316229e0,Nikon D500 DX Digital SLR Camera Body,,USD,189695,Nikon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/nikond500_grande.png?v=1514912352,018208015597,,,,0,5,0
68,pictureline-76b744a1656688c35cffceaec60f9751,Canon EOS 7D Mark II Digital SLR Camera Body Wi-Fi Adapter Kit,,USD,154900,Canon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/7d21_grande_b0d318e9-0555-4ee3-b34d-623e0c438ff7_grande.jpeg?v=1472074484,013803285246,,,,0,5,0
69,pictureline-777f9b7cde1ba46c5adfd76c9afad9c6,Sony Alpha a6300 Mirrorless Digital Camera with E-Mount 16-50mm Lens,,USD,99800,Sony,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/6300flashfront_1024x1024_6afd1b93-3fe8-402b-884c-dfeda31b379f_grande.png?v=1478292332,027242891074,,,,0,5,0
70,pictureline-779ca27858fd3d7efba0f36ed4e15eaf,Canon EOS 77D DSLR Camera (Body Only),,USD,79999,Canon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/HR_77D_BODY_FRONT_CL_grande.jpg?v=1487366815,013803286489,,,,0,5,0
71,pictureline-77a0abd132730e62e384558c0b5df787,Panasonic Lumix DMC-GX85 Mirrorless Micro Four Thirds Camera w/12-32mm Lens (Silver),,USD,59799,Panasonic,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/gx85silver2_grande.jpg?v=1481045930,885170285323,,,,0,5,0
72,pictureline-784315fe7eebbdee581e8cf623232a39,Nikon D7500 Digital Camera Body,,USD,124695,Nikon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/D7500_BF1B_front_grande.jpg?v=1492444178,018208015818,,,,0,5,0
73,pictureline-78cfeccd2d7d7a8313e25fb0572a4b41,Canon EOS 5DS Digital Camera Body,,USD,349900,Canon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/HR_5DS_BODY_FRONT_DOWN_CL_1024x1024_82cf92c0-964b-4162-8044-c0ab919ce99b_grande.jpeg?v=1449614525,013803256949,,,,0,5,0
